"","month","Pageviews","Number_Session","Pages_Session","Avg_S_Duration","Bounce","Web_Metric","Number"
"1",1,2538,37.9786711391752,74.3412332050792,3475.87452949691,0.565930444932139,"Sessions",1044
"2",2,2324,33.707014991,68.6537460034648,3028.79901500914,0.596881295465859,"Sessions",925
"3",3,2806,39.5314405670408,88.6763786615563,4604.42341380582,0.557133634069955,"Sessions",1024
"4",4,2364,37.836694352651,75.59433068325,4239.42135805814,0.557805085045167,"Sessions",913
"5",5,2583,37.2252979637122,85.5310985736355,3916.85669928015,0.538007194692823,"Sessions",965
"6",6,2197,35.924395190288,78.1484469965129,3131.2320420715,0.546027509591299,"Sessions",838
"7",7,2421,36.6511966004569,87.1409700513515,4217.17492859675,0.501548374610123,"Sessions",868
"8",8,2442,36.7039954153859,84.2933415483839,4774.23708990663,0.485853480052102,"Sessions",880
"9",9,2339,35.3052998084569,86.1388320150677,3215.68630038581,0.508204092250541,"Sessions",863
"10",10,2634,36.5865900507338,88.5688550075092,4348.31153110551,0.474740202495258,"Sessions",925
"11",11,2470,34.4448847192234,88.9363607655582,4202.24632332836,0.462551586467997,"Sessions",840
"12",12,1746,36.4906993024762,82.988731336517,3723.91875138298,0.494916759606629,"Sessions",659
"13",1,2538,37.9786711391752,74.3412332050792,3475.87452949691,0.565930444932139,"Users",855
"14",2,2324,33.707014991,68.6537460034648,3028.79901500914,0.596881295465859,"Users",772
"15",3,2806,39.5314405670408,88.6763786615563,4604.42341380582,0.557133634069955,"Users",794
"16",4,2364,37.836694352651,75.59433068325,4239.42135805814,0.557805085045167,"Users",731
"17",5,2583,37.2252979637122,85.5310985736355,3916.85669928015,0.538007194692823,"Users",789
"18",6,2197,35.924395190288,78.1484469965129,3131.2320420715,0.546027509591299,"Users",688
"19",7,2421,36.6511966004569,87.1409700513515,4217.17492859675,0.501548374610123,"Users",721
"20",8,2442,36.7039954153859,84.2933415483839,4774.23708990663,0.485853480052102,"Users",728
"21",9,2339,35.3052998084569,86.1388320150677,3215.68630038581,0.508204092250541,"Users",720
"22",10,2634,36.5865900507338,88.5688550075092,4348.31153110551,0.474740202495258,"Users",771
"23",11,2470,34.4448847192234,88.9363607655582,4202.24632332836,0.462551586467997,"Users",723
"24",12,1746,36.4906993024762,82.988731336517,3723.91875138298,0.494916759606629,"Users",552
"25",1,2538,37.9786711391752,74.3412332050792,3475.87452949691,0.565930444932139,"New_Users",614
"26",2,2324,33.707014991,68.6537460034648,3028.79901500914,0.596881295465859,"New_Users",525
"27",3,2806,39.5314405670408,88.6763786615563,4604.42341380582,0.557133634069955,"New_Users",537
"28",4,2364,37.836694352651,75.59433068325,4239.42135805814,0.557805085045167,"New_Users",515
"29",5,2583,37.2252979637122,85.5310985736355,3916.85669928015,0.538007194692823,"New_Users",561
"30",6,2197,35.924395190288,78.1484469965129,3131.2320420715,0.546027509591299,"New_Users",456
"31",7,2421,36.6511966004569,87.1409700513515,4217.17492859675,0.501548374610123,"New_Users",497
"32",8,2442,36.7039954153859,84.2933415483839,4774.23708990663,0.485853480052102,"New_Users",525
"33",9,2339,35.3052998084569,86.1388320150677,3215.68630038581,0.508204092250541,"New_Users",525
"34",10,2634,36.5865900507338,88.5688550075092,4348.31153110551,0.474740202495258,"New_Users",568
"35",11,2470,34.4448847192234,88.9363607655582,4202.24632332836,0.462551586467997,"New_Users",528
"36",12,1746,36.4906993024762,82.988731336517,3723.91875138298,0.494916759606629,"New_Users",402
