"","X","Date","Sessions","Pageviews","Users","New_Users","Number_Session","Pages_Session","Avg_S_Duration","Bounce","New.Users"
"1",1,2012-03-12,27,65,23,19,1.17391304347826,2.40740740740741,135.444444444444,0.518518518518518,19
"2",2,2012-03-13,34,93,23,19,1.47826086956522,2.73529411764706,191.205882352941,0.470588235294118,19
"3",3,2012-03-14,34,119,20,15,1.7,3.5,212.647058823529,0.411764705882353,15
"4",4,2012-03-15,19,60,12,8,1.58333333333333,3.15789473684211,335.736842105263,0.368421052631579,8
"5",5,2012-03-16,13,23,10,7,1.3,1.76923076923077,107.846153846154,0.692307692307692,7
"6",6,2012-03-17,8,18,6,1,1.33333333333333,2.25,51.25,0.5,1
"7",7,2012-03-18,11,17,5,3,2.2,1.54545454545455,72.2727272727273,0.636363636363636,3
"8",8,2012-03-19,17,55,12,10,1.41666666666667,3.23529411764706,245.470588235294,0.529411764705882,10
"9",9,2012-03-20,26,94,21,15,1.23809523809524,3.61538461538462,252.538461538462,0.461538461538462,15
"10",10,2012-03-21,32,80,27,21,1.18518518518519,2.5,109.03125,0.53125,21
"11",11,2012-03-22,22,68,15,10,1.46666666666667,3.09090909090909,216.363636363636,0.363636363636364,10
"12",12,2012-03-23,26,62,17,14,1.52941176470588,2.38461538461538,169.038461538462,0.615384615384615,14
"13",13,2012-03-24,10,30,8,6,1.25,3,127.8,0.3,6
"14",14,2012-03-25,15,40,10,7,1.5,2.66666666666667,51.7333333333333,0.533333333333333,7
"15",15,2012-03-26,34,108,28,23,1.21428571428571,3.17647058823529,177.764705882353,0.411764705882353,23
"16",16,2012-03-27,32,93,18,16,1.77777777777778,2.90625,278.5625,0.46875,16
"17",17,2012-03-28,33,77,25,17,1.32,2.33333333333333,104.575757575758,0.545454545454545,17
"18",18,2012-03-29,17,43,11,9,1.54545454545455,2.52941176470588,239.411764705882,0.647058823529412,9
"19",19,2012-03-30,27,86,21,15,1.28571428571429,3.18518518518519,219.925925925926,0.481481481481481,15
"20",20,2012-03-31,16,51,11,7,1.45454545454545,3.1875,130.125,0.5,7
"21",21,2012-04-01,18,96,11,6,1.63636363636364,5.33333333333333,284.166666666667,0.333333333333333,6
"22",22,2012-04-02,19,105,16,13,1.1875,5.52631578947368,162.157894736842,0.421052631578947,13
"23",23,2012-04-03,36,108,28,21,1.28571428571429,3,135.138888888889,0.416666666666667,21
"24",24,2012-04-04,29,79,21,17,1.38095238095238,2.72413793103448,109.48275862069,0.413793103448276,17
"25",25,2012-04-05,26,61,17,12,1.52941176470588,2.34615384615385,221.576923076923,0.538461538461538,12
"26",26,2012-04-06,23,57,12,9,1.91666666666667,2.47826086956522,171,0.434782608695652,9
"27",27,2012-04-07,12,28,7,4,1.71428571428571,2.33333333333333,82.6666666666667,0.666666666666667,4
"28",28,2012-04-08,10,32,8,4,1.25,3.2,216.4,0.3,4
"29",29,2012-04-09,28,141,18,14,1.55555555555556,5.03571428571429,566.892857142857,0.464285714285714,14
"30",30,2012-04-10,16,46,14,11,1.14285714285714,2.875,105.8125,0.3125,11
"31",31,2012-04-11,15,59,12,8,1.25,3.93333333333333,455.666666666667,0.333333333333333,8
"32",32,2012-04-12,23,144,20,11,1.15,6.26086956521739,379.391304347826,0.347826086956522,11
"33",33,2012-04-13,26,74,21,14,1.23809523809524,2.84615384615385,177.461538461538,0.461538461538462,14
"34",34,2012-04-14,10,12,3,1,3.33333333333333,1.2,142,0.8,1
"35",35,2012-04-15,13,30,7,5,1.85714285714286,2.30769230769231,39.3076923076923,0.615384615384615,5
"36",36,2012-04-16,37,132,26,22,1.42307692307692,3.56756756756757,348.216216216216,0.297297297297297,22
"37",37,2012-04-17,20,60,12,7,1.66666666666667,3,389.2,0.3,7
"38",38,2012-04-18,22,121,16,9,1.375,5.5,656.681818181818,0.318181818181818,9
"39",39,2012-04-19,29,81,18,14,1.61111111111111,2.79310344827586,158.655172413793,0.517241379310345,14
"40",40,2012-04-20,30,87,15,9,2,2.9,357.266666666667,0.533333333333333,9
"41",41,2012-04-21,18,43,8,6,2.25,2.38888888888889,133.222222222222,0.611111111111111,6
"42",42,2012-04-22,10,23,7,6,1.42857142857143,2.3,196.5,0.5,6
"43",43,2012-04-23,41,143,23,16,1.78260869565217,3.48780487804878,189.512195121951,0.317073170731707,16
"44",44,2012-04-24,30,95,24,17,1.25,3.16666666666667,109.8,0.433333333333333,17
"45",45,2012-04-25,27,83,22,16,1.22727272727273,3.07407407407407,50.1481481481481,0.592592592592593,16
"46",46,2012-04-26,21,59,18,14,1.16666666666667,2.80952380952381,85.2380952380952,0.476190476190476,14
"47",47,2012-04-27,19,37,15,12,1.26666666666667,1.94736842105263,34.3684210526316,0.631578947368421,12
"48",48,2012-04-28,5,17,5,5,1,3.4,174,0.4,5
"49",49,2012-04-29,18,90,13,5,1.38461538461538,5,554.833333333333,0.222222222222222,5
"50",50,2012-04-30,29,100,24,18,1.20833333333333,3.44827586206897,229.51724137931,0.482758620689655,18
"51",51,2012-05-01,31,97,23,16,1.34782608695652,3.12903225806452,101.451612903226,0.354838709677419,16
"52",52,2012-05-02,20,86,16,9,1.25,4.3,515.9,0.35,9
"53",53,2012-05-03,26,81,19,14,1.36842105263158,3.11538461538462,239,0.461538461538462,14
"54",54,2012-05-04,33,77,22,16,1.5,2.33333333333333,319.666666666667,0.575757575757576,16
"55",55,2012-05-05,10,30,5,4,2,3,127.5,0.8,4
"56",56,2012-05-06,19,56,14,8,1.35714285714286,2.94736842105263,129.842105263158,0.368421052631579,8
"57",57,2012-05-07,24,70,16,12,1.5,2.91666666666667,275.708333333333,0.458333333333333,12
"58",58,2012-05-08,22,95,18,13,1.22222222222222,4.31818181818182,458.090909090909,0.363636363636364,13
"59",59,2012-05-09,26,93,21,16,1.23809523809524,3.57692307692308,261.538461538462,0.384615384615385,16
"60",60,2012-05-10,26,87,21,14,1.23809523809524,3.34615384615385,169.653846153846,0.5,14
"61",61,2012-05-11,37,98,31,24,1.19354838709677,2.64864864864865,182.540540540541,0.378378378378378,24
"62",62,2012-05-12,13,18,9,6,1.44444444444444,1.38461538461538,31.3076923076923,0.615384615384615,6
"63",63,2012-05-13,20,55,14,9,1.42857142857143,2.75,112.7,0.6,9
"64",64,2012-05-14,39,103,29,21,1.3448275862069,2.64102564102564,211.846153846154,0.512820512820513,21
"65",65,2012-05-15,26,72,19,15,1.36842105263158,2.76923076923077,281.961538461538,0.346153846153846,15
"66",66,2012-05-16,27,90,19,14,1.42105263157895,3.33333333333333,333.333333333333,0.333333333333333,14
