"","Date","Sessions","Pageviews","Users","New_Users","Number_Session","Pages_Session","Avg_S_Duration","Bounce"
"661",2014-01-01,7,28,5,3,1.4,4,120,0.428571428571429
"662",2014-01-02,25,100,20,12,1.25,4,95.96,0.4
"663",2014-01-03,35,89,26,16,1.34615384615385,2.54285714285714,309.657142857143,0.514285714285714
"664",2014-01-04,17,67,13,10,1.30769230769231,3.94117647058824,114.529411764706,0.411764705882353
"665",2014-01-05,13,38,9,7,1.44444444444444,2.92307692307692,136.846153846154,0.769230769230769
"666",2014-01-06,44,119,36,24,1.22222222222222,2.70454545454545,161.113636363636,0.477272727272727
"667",2014-01-07,29,72,26,16,1.11538461538462,2.48275862068966,116.586206896552,0.379310344827586
"668",2014-01-08,31,99,23,15,1.34782608695652,3.19354838709677,160.709677419355,0.451612903225806
"669",2014-01-09,38,118,30,23,1.26666666666667,3.10526315789474,236.421052631579,0.421052631578947
"670",2014-01-10,33,92,30,22,1.1,2.78787878787879,65.6363636363636,0.575757575757576
"671",2014-01-11,21,49,13,10,1.61538461538462,2.33333333333333,93.2380952380952,0.380952380952381
"672",2014-01-12,25,87,17,14,1.47058823529412,3.48,86.92,0.4
"673",2014-01-13,49,178,40,31,1.225,3.63265306122449,109.816326530612,0.36734693877551
"674",2014-01-14,27,109,24,18,1.125,4.03703703703704,198.222222222222,0.333333333333333
"675",2014-01-15,43,136,38,25,1.13157894736842,3.16279069767442,132.581395348837,0.395348837209302
"676",2014-01-16,41,148,31,19,1.32258064516129,3.60975609756098,328.682926829268,0.390243902439024
"677",2014-01-17,33,127,25,14,1.32,3.84848484848485,116.636363636364,0.545454545454545
"678",2014-01-18,10,26,5,3,2,2.6,170.4,0.6
"679",2014-01-19,15,54,11,9,1.36363636363636,3.6,172.733333333333,0.4
"680",2014-01-20,39,122,32,20,1.21875,3.12820512820513,55.8461538461538,0.564102564102564
"681",2014-01-21,38,156,33,19,1.15151515151515,4.10526315789474,304.578947368421,0.342105263157895
"682",2014-01-22,35,73,23,14,1.52173913043478,2.08571428571429,242.685714285714,0.6
"683",2014-01-23,38,108,32,21,1.1875,2.84210526315789,158.526315789474,0.342105263157895
"684",2014-01-24,39,100,28,21,1.39285714285714,2.56410256410256,175.820512820513,0.512820512820513
"685",2014-01-25,12,31,8,6,1.5,2.58333333333333,214.166666666667,0.416666666666667
"686",2014-01-26,15,38,10,6,1.5,2.53333333333333,407.2,0.466666666666667
"687",2014-01-27,36,114,27,17,1.33333333333333,3.16666666666667,107.527777777778,0.444444444444444
"688",2014-01-28,43,163,34,21,1.26470588235294,3.7906976744186,149.860465116279,0.465116279069767
"689",2014-01-29,37,102,30,19,1.23333333333333,2.75675675675676,74.7297297297297,0.459459459459459
"690",2014-01-30,27,56,19,14,1.42105263157895,2.07407407407407,201.333333333333,0.444444444444444
"691",2014-01-31,25,64,21,11,1.19047619047619,2.56,142.32,0.52
"692",2014-02-01,17,58,11,7,1.54545454545455,3.41176470588235,171.764705882353,0.588235294117647
"693",2014-02-02,16,34,12,8,1.33333333333333,2.125,49.6875,0.6875
"694",2014-02-03,38,99,30,18,1.26666666666667,2.60526315789474,117.5,0.447368421052632
"695",2014-02-04,20,46,14,5,1.42857142857143,2.3,107.9,0.5
"696",2014-02-05,39,130,27,18,1.44444444444444,3.33333333333333,175.74358974359,0.461538461538462
"697",2014-02-06,33,66,28,19,1.17857142857143,2,120.060606060606,0.666666666666667
"698",2014-02-07,28,91,20,13,1.4,3.25,199.25,0.392857142857143
"699",2014-02-08,15,45,15,13,1,3,41.6,0.4
"700",2014-02-09,22,57,16,11,1.375,2.59090909090909,136.5,0.5
"701",2014-02-10,34,181,24,15,1.41666666666667,5.32352941176471,322.058823529412,0.382352941176471
"702",2014-02-11,34,100,27,14,1.25925925925926,2.94117647058824,135.617647058824,0.5
"703",2014-02-12,34,102,24,14,1.41666666666667,3,87.4705882352941,0.5
"704",2014-02-13,31,97,23,15,1.34782608695652,3.12903225806452,146.58064516129,0.516129032258065
"705",2014-02-14,22,42,15,8,1.46666666666667,1.90909090909091,270.363636363636,0.636363636363636
"706",2014-02-15,23,102,15,12,1.53333333333333,4.43478260869565,171.391304347826,0.347826086956522
"707",2014-02-16,16,56,13,10,1.23076923076923,3.5,70.9375,0.4375
"708",2014-02-17,44,145,31,17,1.41935483870968,3.29545454545455,256.863636363636,0.409090909090909
"709",2014-02-18,38,99,26,14,1.46153846153846,2.60526315789474,137.026315789474,0.526315789473684
"710",2014-02-19,31,129,23,16,1.34782608695652,4.16129032258065,428.225806451613,0.419354838709677
"711",2014-02-20,38,122,26,20,1.46153846153846,3.21052631578947,326.973684210526,0.342105263157895
"712",2014-02-21,30,62,22,14,1.36363636363636,2.06666666666667,72.6333333333333,0.6
"713",2014-02-22,8,31,6,4,1.33333333333333,3.875,85.125,0.5
"714",2014-02-23,11,34,8,5,1.375,3.09090909090909,68.6363636363636,0.454545454545455
"715",2014-02-24,32,99,27,20,1.18518518518519,3.09375,309.40625,0.40625
