"","month","yhat_lower","yhat_upper","yhat","Web_Metric","Results","Number","All_Mape","MAPE_Number"
"1",1,97.4610771898614,121.554758390662,109.481877574509,"Sessions","Actual",1064,"MAPE",996.215598404853
"2",2,88.0667645933702,110.028243227124,99.1350132584911,"Sessions","Actual",814,"MAPE",913.918197596538
"3",3,97.8004889149823,121.962989223717,109.836610544696,"Sessions","Actual",950,"MAPE",997.279000431271
"4",4,92.3235855852039,115.589227280253,103.919992908664,"Sessions","Actual",978,"MAPE",961.529663202628
"5",5,97.9539695226687,122.079392935996,109.98435138437,"Sessions","Actual",980,"MAPE",996.750336359131
"6",6,93.0245913405481,116.349089075334,104.787804606346,"Sessions","Actual",670,"MAPE",972.820243182794
"7",7,94.7983881164701,118.757898917207,106.792731073308,"Sessions","Actual",782,"MAPE",994.322780197802
"8",8,96.621967435903,121.009570875358,108.692341548441,"Sessions","Actual",973,"MAPE",999.586695640927
"9",9,97.4256018998969,120.822534613026,109.143392935317,"Sessions","Actual",852,"MAPE",969.693241246088
"10",10,100.447449032117,124.629615534396,112.539630480442,"Sessions","Actual",814,"MAPE",1001.06988779061
"11",11,96.6770597225695,120.084103426534,108.391404690814,"Sessions","Actual",956,"MAPE",969.501898908604
"12",12,89.5263606071763,113.596602598418,101.52730842728,"Sessions","Actual",759,"MAPE",994.835018369086
"13",1,97.4610771898614,121.554758390662,109.481877574509,"Sessions","Predicted",1150.98729449448,"MAPE",996.215598404853
"14",2,88.0667645933702,110.028243227124,99.1350132584911,"Sessions","Predicted",1040.35453712626,"MAPE",913.918197596538
"15",3,97.8004889149823,121.962989223717,109.836610544696,"Sessions","Predicted",1147.55462102359,"MAPE",997.279000431271
"16",4,92.3235855852039,115.589227280253,103.919992908664,"Sessions","Predicted",1040.24077279806,"MAPE",961.529663202628
"17",5,97.9539695226687,122.079392935996,109.98435138437,"Sessions","Predicted",1154.61809688569,"MAPE",996.750336359131
"18",6,93.0245913405481,116.349089075334,104.787804606346,"Sessions","Predicted",1057.41065138365,"MAPE",972.820243182794
"19",7,94.7983881164701,118.757898917207,106.792731073308,"Sessions","Predicted",1053.54793204394,"MAPE",994.322780197802
"20",8,96.621967435903,121.009570875358,108.692341548441,"Sessions","Predicted",1107.05651658861,"MAPE",999.586695640927
"21",9,97.4256018998969,120.822534613026,109.143392935317,"Sessions","Predicted",1238.32209618095,"MAPE",969.693241246088
"22",10,100.447449032117,124.629615534396,112.539630480442,"Sessions","Predicted",1260.39927195873,"MAPE",1001.06988779061
"23",11,96.6770597225695,120.084103426534,108.391404690814,"Sessions","Predicted",1194.01157793007,"MAPE",969.501898908604
"24",12,89.5263606071763,113.596602598418,101.52730842728,"Sessions","Predicted",892.192816226544,"MAPE",994.835018369086
"25",1,97.4610771898614,121.554758390662,109.481877574509,"Sessions","Predicted_Lower",781.735089077389,"MAPE",996.215598404853
"26",2,88.0667645933702,110.028243227124,99.1350132584911,"Sessions","Predicted_Lower",699.745976080155,"MAPE",913.918197596538
"27",3,97.8004889149823,121.962989223717,109.836610544696,"Sessions","Predicted_Lower",778.307570422212,"MAPE",997.279000431271
"28",4,92.3235855852039,115.589227280253,103.919992908664,"Sessions","Predicted_Lower",706.697852874353,"MAPE",961.529663202628
"29",5,97.9539695226687,122.079392935996,109.98435138437,"Sessions","Predicted_Lower",783.689716026174,"MAPE",996.750336359131
"30",6,93.0245913405481,116.349089075334,104.787804606346,"Sessions","Predicted_Lower",715.217528657241,"MAPE",972.820243182794
"31",7,94.7983881164701,118.757898917207,106.792731073308,"Sessions","Predicted_Lower",716.158355255756,"MAPE",994.322780197802
"32",8,96.621967435903,121.009570875358,108.692341548441,"Sessions","Predicted_Lower",750.990531287907,"MAPE",999.586695640927
"33",9,97.4256018998969,120.822534613026,109.143392935317,"Sessions","Predicted_Lower",838.352330543399,"MAPE",969.693241246088
"34",10,100.447449032117,124.629615534396,112.539630480442,"Sessions","Predicted_Lower",853.102489970697,"MAPE",1001.06988779061
"35",11,96.6770597225695,120.084103426534,108.391404690814,"Sessions","Predicted_Lower",808.568503250537,"MAPE",969.501898908604
"36",12,89.5263606071763,113.596602598418,101.52730842728,"Sessions","Predicted_Lower",605.56945968084,"MAPE",994.835018369086
"37",1,97.4610771898614,121.554758390662,109.481877574509,"Sessions","Predicted_Upper",1701.29481897709,"MAPE",996.215598404853
"38",2,88.0667645933702,110.028243227124,99.1350132584911,"Sessions","Predicted_Upper",1537.07690658398,"MAPE",913.918197596538
"39",3,97.8004889149823,121.962989223717,109.836610544696,"Sessions","Predicted_Upper",1698.55132085082,"MAPE",997.279000431271
"40",4,92.3235855852039,115.589227280253,103.919992908664,"Sessions","Predicted_Upper",1535.29042351998,"MAPE",961.529663202628
"41",5,97.9539695226687,122.079392935996,109.98435138437,"Sessions","Predicted_Upper",1706.64946696697,"MAPE",996.750336359131
"42",6,93.0245913405481,116.349089075334,104.787804606346,"Sessions","Predicted_Upper",1555.76777078362,"MAPE",972.820243182794
"43",7,94.7983881164701,118.757898917207,106.792731073308,"Sessions","Predicted_Upper",1551.10413209964,"MAPE",994.322780197802
"44",8,96.621967435903,121.009570875358,108.692341548441,"Sessions","Predicted_Upper",1646.68397379268,"MAPE",999.586695640927
"45",9,97.4256018998969,120.822534613026,109.143392935317,"Sessions","Predicted_Upper",1828.68411763153,"MAPE",969.693241246088
"46",10,100.447449032117,124.629615534396,112.539630480442,"Sessions","Predicted_Upper",1864.48032922112,"MAPE",1001.06988779061
"47",11,96.6770597225695,120.084103426534,108.391404690814,"Sessions","Predicted_Upper",1763.7721189286,"MAPE",969.501898908604
"48",12,89.5263606071763,113.596602598418,101.52730842728,"Sessions","Predicted_Upper",1314.22922340548,"MAPE",994.835018369086
"49",1,97.4610771898614,121.554758390662,109.481877574509,"Sessions","Actual",1064,"MAPE_Lower",1476.84925324192
"50",2,88.0667645933702,110.028243227124,99.1350132584911,"Sessions","Actual",814,"MAPE_Lower",1331.99895055955
"51",3,97.8004889149823,121.962989223717,109.836610544696,"Sessions","Actual",950,"MAPE_Lower",1484.66889834612
"52",4,92.3235855852039,115.589227280253,103.919992908664,"Sessions","Actual",978,"MAPE_Lower",1426.88208731504
"53",5,97.9539695226687,122.079392935996,109.98435138437,"Sessions","Actual",980,"MAPE_Lower",1480.08097681453
"54",6,93.0245913405481,116.349089075334,104.787804606346,"Sessions","Actual",670,"MAPE_Lower",1411.12949310766
"55",7,94.7983881164701,118.757898917207,106.792731073308,"Sessions","Actual",782,"MAPE_Lower",1460.79662738987
"56",8,96.621967435903,121.009570875358,108.692341548441,"Sessions","Actual",973,"MAPE_Lower",1513.06616524599
"57",9,97.4256018998969,120.822534613026,109.143392935317,"Sessions","Actual",852,"MAPE_Lower",1428.3988219892
"58",10,100.447449032117,124.629615534396,112.539630480442,"Sessions","Actual",814,"MAPE_Lower",1479.14031535024
"59",11,96.6770597225695,120.084103426534,108.391404690814,"Sessions","Actual",956,"MAPE_Lower",1430.44507238996
"60",12,89.5263606071763,113.596602598418,101.52730842728,"Sessions","Actual",759,"MAPE_Lower",1476.08075845846
"61",1,97.4610771898614,121.554758390662,109.481877574509,"Sessions","Predicted",1150.98729449448,"MAPE_Lower",1476.84925324192
"62",2,88.0667645933702,110.028243227124,99.1350132584911,"Sessions","Predicted",1040.35453712626,"MAPE_Lower",1331.99895055955
"63",3,97.8004889149823,121.962989223717,109.836610544696,"Sessions","Predicted",1147.55462102359,"MAPE_Lower",1484.66889834612
"64",4,92.3235855852039,115.589227280253,103.919992908664,"Sessions","Predicted",1040.24077279806,"MAPE_Lower",1426.88208731504
"65",5,97.9539695226687,122.079392935996,109.98435138437,"Sessions","Predicted",1154.61809688569,"MAPE_Lower",1480.08097681453
"66",6,93.0245913405481,116.349089075334,104.787804606346,"Sessions","Predicted",1057.41065138365,"MAPE_Lower",1411.12949310766
